iter	Passed	Remaining
0	3	314
1	5	283
2	8	278
3	10	251
4	12	242
5	15	236
6	17	230
7	19	225
8	21	219
9	24	216
10	26	213
11	28	210
12	31	207
13	33	206
14	36	204
15	38	201
16	40	199
17	43	195
18	45	192
19	47	189
20	49	187
21	52	184
22	54	181
23	56	179
24	58	176
25	61	173
26	63	171
27	65	168
28	67	165
29	70	163
30	72	161
31	74	158
32	76	155
33	78	153
34	81	150
35	83	147
36	85	145
37	87	143
38	89	140
39	92	138
40	94	136
41	95	131
42	97	129
43	99	127
44	102	124
45	104	122
46	106	120
47	108	118
48	111	115
49	113	113
50	115	110
51	117	108
52	119	106
53	121	103
54	123	100
55	125	98
56	127	96
57	130	94
58	132	92
59	135	90
60	137	88
61	140	85
62	142	83
63	144	81
64	146	79
65	148	76
66	151	74
67	153	72
68	156	70
69	158	68
70	160	65
71	162	63
72	165	61
73	167	58
74	170	56
75	172	54
76	175	52
77	177	50
78	179	47
79	182	45
80	184	43
81	186	41
82	189	38
83	192	36
84	194	34
85	197	32
86	199	29
87	201	27
88	204	25
89	206	22
90	208	20
91	211	18
92	213	16
93	216	13
94	218	11
95	221	9
96	223	6
97	225	4
98	227	2
99	230	0
